informasjonstype,navn,ingress,beskrivelse,kontekstavhengig_beskrivelse,normeringsniva,eif_niva,status,samhandlingstjenester,ansvarlig,referanse_lenketekst,referanse_url
Kodeverk og terminologi ,FEST - Forskrivnings- og ekspedisjonsstøtte,,"FEST er et datagrunnlag som gir lege, apotek og bandasjist oppdatert informasjon om alt du kan få på resept i Norge. Det beriker elektroniske kurveløsninger og legger grunnlag for pasientrettet legemiddelinformasjon.

",,,,Eksisterer,"Pasientens kritiske informasjon, Pasientens legemiddelliste",Legemiddelverket,FEST - Forskrivnings- og ekspedisjonsstøtte (dmp.no),https://www.dmp.no/om-oss/distribusjon-av-legemiddeldata/fest
Nasjonal e-helseløsning ,Kjernejournal,,Kjernejournal er en digital løsning for deling av pasientenes helseopplysninger på tvers av virksomheter og nivåer i helsevesenet.,,,Organisatorisk,Eksisterer,"Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste",Norsk helsenett (NHN),Om kjernejournal (nhn.no),https://www.nhn.no/tjenester/kjernejournal
Nasjonal e-helseløsning ,E-resept,,E-resept er en løsning for sikker overføring av reseptinformasjon. Løsningen består av et sett ulike meldinger og systemer som håndterer sikker rekvirering og utlevering til pasient.,,,Organisatorisk,Eksisterer,"Pasientens kritiske informasjon, Pasientens legemiddelliste",Norsk helsenett (NHN),Om e-resept (nhn.no),https://www.nhn.no/tjenester/e-resept/om-e-resept
Krav og prinsipper ,Plan om å utarbeide veileder for deling av kritisk informasjon,,Det er behov for veiledning om hvordan kritisk informasjon skal deles og brukes. Helsedirektoratet planlegger å starte arbeidet med en slik veiledning i 2025,,,Semantisk,Udekkede behov,Pasientens kritiske informasjon,Helsedirektoratet,,
Forskrift ,Endringer i kjernejournalforskriften,,Gjennom en endring i kjernejournalforskriften er laboratorie- og bildediagnostiske svar innen åtte fagområder vedtatt som nye innholdselementer i kjernejournal. Forskriftsendringen er ikke trådt i kraft. Dette skjer fra det tidspunkt Helse- og omsorgsdepartementet bestemmer.,,,Juridisk,Under utvikling,Pasientens prøvesvar,Helse- og omsorgsdepartementet,,
Forskrift ,Endringer i kjernejournalforskriften,,Gjennom en endring i kjernejournalforskriften er laboratorie- og bildediagnostiske svar innen åtte fagområder vedtatt som nye innholdselementer i kjernejournal. Forskriftsendringen er ikke trådt i kraft. Dette skjer fra det tidspunkt Helse- og omsorgsdepartementet bestemmer.,,,Juridisk,Under utvikling,Pasientens prøvesvar,Helse- og omsorgsdepartementet,,
Forskrift ,Pasientjournalforskriften,,"Pasientjournalforskriften er hjemlet i pasientjournalloven, og utfyller blant annet pasientjournallovens krav til informasjonssikkerhet. Forskriften setter blant annet spesifikke krav til tilgangsstyring og logging.",Pasientens legemiddelliste: Vedtatte bestemmelser om pasientens legemiddelliste i pasientjournalforskriften § 6 bokstav e tredje punktum og § 9 er ikke tredd i kraft. De trer i kraft fra det tidspunktet departementet bestemmer.,,Juridisk,Eksisterer,"Pasientens journaldokumenter, Pasientens legemiddelliste, Pasientens måledata",Helse- og omsorgsdepartementet,Forskrift om pasientjournal (pasientjournalforskriften) (lovdata.no),https://lovdata.no/dokument/SF/forskrift/2019-03-01-168?q=Pasientjournalforskriften
Lov ,Høring om forslag til endringer i reglene om taushetsplikt,,Helse- og omsorgsdepartementet har sendt på høring forslag om endringer i reglene om taushetsplikt i helsepersonelloven og pasientjournalloven mv. ,,,Juridisk,Under utvikling,"Pasientens journaldokumenter, Pasientens måledata",Helse- og omsorgsdepartementet,Høring - forslag til endringer i reglene om taushetsplikt i helsepersonelloven og pasientjournalloven mv. (regjeringen.no),https://www.regjeringen.no/no/dokumenter/horing-forslag-til-endringer-i-reglene-om-taushetsplikt-i-helsepersonelloven-og-pasientjournalloven-mv/id3054526/
Lov ,Pasient- og brukerrettighetsloven,,"Både personopplysningsloven (personvernforordningen), pasientjournalloven og tildels pasient- og brukerrettighetsloven regulerer behandling av person- og helseopplysninger.

Pasient- og brukerrettighetsloven fastsetter rettigheter pasienten har overfor helse- og omsorgstjenesten, herunder rett til innsyn i journal og rett til å motsette seg deling av journalopplysninger",,,Juridisk,Eksisterer,"Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste, Pasientens måledata",Helse- og omsorgsdepartementet,Lov om pasient- og brukerrettigheter (pasient- og brukerrettighetsloven) (lovdata.no),https://lovdata.no/dokument/NL/lov/1999-07-02-63?q=Pasient-%20og%20brukerrettighetsloven
Lov ,Personopplysningsloven,,"Både personopplysningsloven (personvernforordningen), pasientjournalloven og tildels pasient- og brukerrettighetsloven regulerer behandling av person- og helseopplysninger. 

Personopplysningsloven gjennomfører EUs personvernforordning i norsk rett og er den sentrale sektorovergripende loven når det gjelder behandling av personopplysninger. Loven utfyller pasientjournallovens særlige bestemmelser om behandling av helseopplysninger.",,,Juridisk,Eksisterer,"Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste, Pasientens måledata",Justis- og beredskapsdepartementet,Lov om behandling av personopplysninger (personopplysningsloven) (lovdata.no),https://lovdata.no/dokument/NL/lov/2018-06-15-38?q=personopplysningsloven
Forskrift ,Kjernejournalforskriften,,"Forskriften er hjemlet i pasientjournalloven § 13. Forskriften gir nærmere bestemmelser om nasjonal kjernejournal, og det følger av forskriften § 4 hvilke opplysninger kjerjournal kan inneholde. Dette omfatter blant annet kritisk informasjon og referanser til ytterligere informasjon, som for eksempel epikriser.","Pasientens legemiddelliste: Pasientens legemiddelliste i Reseptformidleren, kan også tilgjengeliggjøres for helsepersonell i Nasjonal kjernejournal jf. kjernejournalforskriften § 7.",,Juridisk,Eksisterer,"Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens legemiddelliste",Helse- og omsorgsdepartementet,Forskrift om nasjonal kjernejournal (kjernejournalforskriften) (lovdata.no),https://lovdata.no/dokument/SF/forskrift/2013-05-31-563?q=kjernejournalforskriften
Forskrift ,Kjernejournalforskriften,,"Forskriften er hjemlet i pasientjournalloven § 13. Forskriften gir nærmere bestemmelser om nasjonal kjernejournal, og det følger av forskriften § 4 hvilke opplysninger kjernejournal kan inneholde. Dette omfatter blant annet kritisk informasjon , laboratorie- og bildediagnostiske prøvesvar, samt referanser til ytterligere informasjon, for eksempel til epikriser.","Pasientens legemiddelliste: Pasientens legemiddelliste i Reseptformidleren, kan også tilgjengeliggjøres for helsepersonell i Nasjonal kjernejournal jf. kjernejournalforskriften § 7.",,Juridisk,Eksisterer,"Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste",Helse- og omsorgsdepartementet,Forskrift om nasjonal kjernejournal (kjernejournalforskriften) (lovdata.no),https://lovdata.no/dokument/SF/forskrift/2013-05-31-563?q=kjernejournalforskriften
Forskrift ,Forskrift om standarder og nasjonale e-helseløsninger,,"Forskriften er hjemlet i pasientjournalloven §§ 7, 8, 12 og 13. Forskriften gir blant annet nærmere bestemmelser om plikt til bruk, betaling og tilgjengeliggjøring av nasjonale e-helseløsninger samt nærmere bestemmelser om krav til elektronisk behandling av helseopplysninger og standarder.",Pasientens legemiddelliste: Forskriften gir krav til funksjonalitet ved meldingsutvekslinger for resepter og reseptopplysninger.,,Juridisk,Eksisterer,"Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste, Pasientens måledata",Helse- og omsorgsdepartementet,Forskrift om standarder og nasjonale e-helseløsninger (lovdata.no),https://lovdata.no/dokument/SF/forskrift/2015-07-01-853?q=Forskrift%20om%20standarder%20og%20nasjonale
Krav og prinsipper ,Bruk av standardene Rekvirering av medisinske tjenester og Svarrapportering av medisinske tjenester,,"Dette dokumentet beskriver bruk av standardene for Rekvirering av medisinske tjenester og Svarrapportering av medisinske tjenester slik at standardene skal blir håndtert på en korrekt måte ved sending og mottak. Dokumentet angir lovlig bruk av berørte kodeverk og bruk av id-er ved endringer, kanselleringer, tillegg eller historikk.",,Anbefalt standard,"Organisatorisk, Semantisk",Eksisterer,Pasientens prøvesvar,Helsedirektoratet,Bruk av standardene Rekvirering av medisinske tjenester og Svarrapportering av medisinske tjenester,https://www.helsedirektoratet.no/standarder/bruk-av-standardene-rekvirering-av-medisinske-tjenester-og-svarrapportering-av-medisinske-tjenester
Krav og prinsipper ,Bruk av laboratoriekodeverk i rekvirering og svarrapportering av medisinske tjenester,,"Dokumentet beskriver hvordan laboratoriekodeverk skal benyttes i meldingsstandardene Svarrapportering av medisinske tjenester og Rekvirering av medisinske tjenester. Dokumentet viser hvordan NLK skal benyttes i XML-meldingene, samt hvordan de ulike XML-elementene benyttes for å angi informasjon om prøvemateriale, anatomisk lokalisasjon, metode og enhet.
",,Anbefalt standard,"Organisatorisk, Semantisk",Eksisterer,Pasientens prøvesvar,Helsedirektoratet,Bruk av laboratoriekodeverk i rekvirering og svarrapportering av medisinske tjenester,https://www.helsedirektoratet.no/standarder/bruk-av-laboratoriekodeverk-i-rekvirering-og-svarrapportering-av-medisinske-tjenester
Kodeverk og terminologi ,Anatomical Therapeutic Chemical (ATC),,Kodeverket angir koder for en internasjonal klassifisering av legemidler i klassifikasjonssystemet Anatomical Therapeutic Chemical (ATC) Classification System,,Obligatorisk standard,Semantisk,Eksisterer,"Pasientens kritiske informasjon, Pasientens legemiddelliste",Helsedirektoratet,ATC (OID=7180) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7180
Informasjonstjeneste ,Pasientens legemiddelliste,"Her får du oversikt over krav og anbefalinger som gjelder for samhandlingstjenesten pasientens legemiddelliste, med lenker til sider og dokumenter der føringer er publisert.","Pasientens legemiddelliste skal inneholde en samlet og oppdatert oversikt over hvilke reseptbelagte legemidler pasienten bruker, og andre legemidler når det er relevant. Beskrivelse av tiltaket pasientens legemiddelliste. Se oversikt over pågående og planlagte aktiviteter for pasientens legemiddelliste i veikart for nasjonal e-helsestrategi.",,,Organisatorisk,Under utvikling,Pasientens legemiddelliste,Helsedirektoratet,,
Informasjonstjeneste ,Pasientens prøvesvar,"Her får du oversikt over krav og anbefalinger som gjelder for samhandlingstjenesten pasientens prøvesvar, med lenker til sider og dokumenter der føringer er publisert.","Pasientens prøvesvar gjør det mulig å tilgjengeliggjøre laboratorie- og bildediagnostiske prøvesvar på tvers av behandlingsnivåer, uavhengig av hvem som har bestilt undersøkelsen og hvor i landet den er utført.

Det er vedtatt endringer i pasientjournalloven § 13 femte ledd og kjernejournalforskriften som legger til rette for at pasientens prøvesvar tas inn som en del av kjernejournal. Beskrivelse av tiltaket pasientens prøvesvar. Se oversikt over pågående og planlagte aktiviteter for pasientens prøvesvar i veikart for nasjonal e-helsestrategi.",,,Organisatorisk,Under utvikling,Pasientens prøvesvar,Helsedirektoratet,,
Informasjonstjeneste ,Pasientens kritiske informasjon,"Her får du oversikt over krav og anbefalinger som gjelder for samhandlingstjenesten pasientens kritiske informasjon, med lenker til sider og dokumenter der disse er publisert.","Samhandlingstjenesten baserer seg på kritisk informasjon i kjernejournal. Med kritisk informasjon menes informasjon som man i en behandlingssituasjon ønsker at det varsles særskilt om til helsepersonell som har pasienten til behandling. Eksempler på kritisk informasjon er allergier, spesielle lidelser eller tidligere komplikasjoner ved anestesi. Beskrivelse av tiltaket pasientens kritiske informasjon. Se oversikt over pågående og planlagte aktiviteter for pasientens kritiske informasjon i veikart for nasjonal e-helsestrategi.",,,Organisatorisk,Eksisterer,Pasientens kritiske informasjon,Helsedirektoratet,,
Informasjonstjeneste ,Pasientens journaldokumenter,"Her får du oversikt over krav og anbefalinger som gjelder for samhandlingstjenesten pasientens journaldokumenter, med lenker til sider og dokumenter der disse er publisert.","Pasientens journaldokumenter er en samhandlingstjeneste for å gi innsyn i dokumenter via kjernejournal for helsepersonell og via Helsenorge for innbyggere.  Eksempler er epikriser, sammenfatninger, og henvisninger. Beskrivelse av tiltaket pasientens journaldokumenter. Se oversikt over pågående og planlagte aktiviteter for pasientens journaldokumenter i veikart for nasjonal e-helsestrategi.",,,Organisatorisk,Eksisterer,Pasientens journaldokumenter,Helsedirektoratet,,
Fortolkning , Kjernejournals formål og forholdet til helsepersonelloven §§ 25 b og 29 c ,,Dokumentet det er lenket til under inneholder en juridisk vurdering av bruk av opplysninger i kjernejournal der formålet er å yte helsehjelp til en annen pasient eller til egen læring og kvalitetssikring av helsehjelpen.,,,Juridisk,Eksisterer,Pasientens journaldokumenter,Helsedirektoratet,"Fortolkning - spørsmål om bruk av opplysninger i kjernejournal der formålet er å yte helsehjelp til en annen pasient eller til egen læring og kvalitetssikring av helsehjelpen, jf. helsepersonelloven §§ 25 b og 29 c (PDF)",https://www.helsedirektoratet.no/tema/digital-deling-av-helseopplysninger/Fortolkning%20-%20sp%C3%B8rsm%C3%A5l%20om%20bruk%20av%20opplysninger%20i%20kjernejournal%20der%20form%C3%A5let%20er%20%C3%A5%20yte%20helsehjelp%20til%20en%20annen%20pasient%20eller%20til%20egen%20l%C3%A6ring%20og%20kvalitetssikring.pdf/_/attachment/inline/cfa85b09-9a60-4772-891e-0fb6fed65e3f:753f25e56e9f7b88450ddc59d6e0b8e278138ab9/Fortolkning%20-%20sp%C3%B8rsm%C3%A5l%20om%20bruk%20av%20opplysninger%20i%20kjernejournal%20der%20form%C3%A5let%20er%20%C3%A5%20yte%20helsehjelp%20til%20en%20annen%20pasient%20eller%20til%20egen%20l%C3%A6ring%20og%20kvalitetssikri.pdf
Fortolkning , Juridisk vurdering av dokumentdeling via kjernejournal (pasientens journaldokumenter),,"Vurderingene det er lenket til under redegjør for hjemmelsgrunnlaget for dokumentdeling via kjernejournal (pasientens journaldokumenter). I tillegg fastslås rekkevidden av de deltakende virksomhetenes dataansvar og den betydning dette har for virksomhetenes plikt til å vurdere risiko, sørge for at det iverksettes tilstrekkelige informasjonssikkerhetstiltak og ivareta den registrertes rettigheter.",,,Juridisk,Eksisterer,Pasientens journaldokumenter,Helsedirektoratet,"Juridisk vurdering av Pasientens journaldokumenter (fortolkning av Direktoratet for e-helse og Helsedirektoratet, uttalelse fra Helse- og omsorgsdepartementet) (PDF)",https://www.helsedirektoratet.no/tema/digital-deling-av-helseopplysninger/Juridisk%20vurdering%20av%20og%20uttalelse%20om%20dokumentdeling%20via%20kjernejournal.pdf/_/attachment/inline/6b8f5adc-260a-45d4-a8af-4d0ae383e4fc:e0fefc58782aed7bc6d462cac671fb39744f83fc/Juridisk%20vurdering%20av%20og%20uttalelse%20om%20dokumentdeling%20via%20kjernejournal.pdf
Teknisk grensesnitt ,Teknisk dokumentasjon for svarrapportering av medisinske tjenester 1.4,,"Teknisk dokumentasjon for svarrapporter, som blant annet inneholder kravdokumenter, XML skjema, XML meldingsbeskrivelser og eksempelfiler.",,,Teknisk,Eksisterer,Pasientens prøvesvar,Helsedirektoratet,Teknisk dokumentasjon for svarrapportering av medisinske tjenester 1.4,https://sarepta.helsedir.no/standard/Svarrapportering%20av%20medisinske%20tjenester/1.4
Klinisk fagsystem ,Klinisk fagsystem,,"Elektronisk system som ivaretar særskilte funksjoner innen klinisk behandling. Eksempelvis fagsystemkategorier som LIMS (laboratoriestøtte), RAD (radiologistøtte) og Føde (fødselsklinikk) og ulike EPJ-systemer.",,,Teknisk,Eksisterer,Pasientens journaldokumenter,Den enkelte aktør,Målarkitektur for dokumentdeling,https://www.helsedirektoratet.no/faglige-rad/malarkitektur-for-dokumentdeling/malarkitektur-for-dokumentdeling.pdf/_/attachment/inline/189c3c04-6baa-4007-90a5-fb49312d9e1e:e327395240bcaadedde5a2daff935836ccb888b8/Målarkitektur%20for%20dokumentdeling.pdf
Krav og prinsipper ,Bli klar for pasientens legemiddelliste,,"Anbefalinger om teknisk tilrettelegging, tilpassing av arbeidsprosesser og opplæring for innføring av pasientens legemiddelliste.",,,"Organisatorisk, Teknisk",Eksisterer,Pasientens legemiddelliste,Helsedirektoratet,Bli klar for pasientens legemiddelliste,https://www.helsedirektoratet.no/digitalisering-og-e-helse/pasientens-legemiddelliste/bli-klar-for-pasientens-legemiddelliste
Krav og prinsipper ,Logging og etterkontroll,,"Dokumentet beskriver prinsipper for logging, loggkontroll og loggoppfølging.",,,Organisatorisk,Eksisterer,Pasientens journaldokumenter,Helsedirektoratet,"Logg, logging og loggkontroll (nhn.no)","https://www.nhn.no/tjenester/pasientens-journaldokumenter/deling-av-journaldokumenter-gjennom-kjernejournal/Logg,%20loggkontroll%20og%20loggoppf%C3%B8lging.pdf"
Krav og prinsipper ,Mal og veiledning for utfylling av personvernkonsekvensvurdering (DPIA),,Dette er en mal og veiledning som skal hjelpe dataansvarlige i helse- og omsorgssektoren med å gjennomføre en vurdering av personvernkonsekvenser (DPIA).,,Nasjonal veileder,Organisatorisk,Eksisterer,Pasientens journaldokumenter,Helsedirektoratet,Mal og veiledning for utfylling av personvernkonsekvensvurdering (DPIA),https://www.helsedirektoratet.no/veiledere/personvernkonsekvensvurdering-dpia-mal
Krav og prinsipper ,Veileder om bruk av NS-EN ISO 27269:2022 Helseinformatikk - Oppsummerende pasientopplysninger [The International Patient Summary],,Anbefaling for bruk av standarden NS-EN ISO 27269:2022 Helseinformatikk - Oppsummerende pasientopplysninger [The International Patient Summary] i Norge,,Nasjonal veileder,Semantisk,Eksisterer,Pasientens kritiske informasjon,Helsedirektoratet,Veileder om bruk av NS-EN ISO 27269:2022 Helseinformatikk - Oppsummerende pasientopplysninger [The International Patient Summary],https://www.helsedirektoratet.no/veiledere/bruk-av-ips-oppsummerende-pasientopplysninger/Veileder%20om%20bruk%20av%20NS-EN%2027269%20(HITR%201240_2020)%20-%20oppdatert.pdf/_/attachment/inline/25b0585d-431c-44aa-9082-902aef06a218:670fa7ae9de922f8508e694f244df888767e40bb/Veileder%20om%20bruk%20av%20NS-EN%2027269%20(HITR%201240_2020)%20-%20oppdatert.pdf
Krav og prinsipper ,"Veileder for helse- og omsorgssektoren: Bruk av Digitaliseringsdirektoratets ""Overordnede arkitekturprinsipper for digitalisering av offentlig sektor""",,"Veileder som gir tilleggsforklaringer og anbefalinger for helsesektoren til DigDirs overordnede arkitekturprinsipper, og lenker til relevante ressurser som nettsteder og dokumenter.",,Nasjonale faglige råd,Organisatorisk,Eksisterer,Pasientens journaldokumenter,Helsedirektoratet,"Veileder for helse- og omsorgssektoren: Bruk av Digitaliseringsdirektoratets ""Overordnede arkitekturprinsipper for digitalisering av offentlig sektor""",https://www.helsedirektoratet.no/faglige-rad/veileder-for-helse-og-omsorgssektoren-bruk-av-digitaliseringsdirektoratets-overordnede-arkitekturprinsipper-for-digitalisering-av-offentlig-sektor/veileder-for-helse-og-omsorgssektoren-bruk-av-digitaliseringsdirektoratets-overordnede-arkitekturprinsipper-for-digitalisering-av-offentlig-sektor.pdf/_/attachment/inline/1453b33b-95cd-4771-b410-9575e0aed84d:8c90091541ba14e6d3fd3d9d13ec5702d48a17ad/Veileder%20for%20helse-%20og%20omsorgssektoren%20-%20Bruk%20av%20Digitaliseringsdirektoratets%20Overordnede%20arkitekturprinsipper%20for%20digitalisering%20av%20offentlig%20sektor.pdf
Krav og prinsipper ,Målarkitektur for datadeling,,Målarkitekturen beskriver hvilke egenskaper og funksjoner som er nødvendige for å oppnå datadeling i sektoren samt hvilke felleskomponenter som sektoren ønsker skal etableres/videreutvikles.,,Nasjonale faglige råd,"Organisatorisk, Semantisk, Teknisk",Eksisterer,Pasientens kritiske informasjon,Helsedirektoratet,Målarkitektur for datadeling i helse- og omsorgssektoren,https://www.helsedirektoratet.no/faglige-rad/malarkitektur-for-datadeling-i-helse-og-omsorgssektoren/malarkitektur-for-datadeling-i-helse-og-omsorgssektoren.pdf/_/attachment/inline/c896939e-1556-4a68-ad79-fb218d6370eb:37a01f4b4eb932b51b3cd8d50d9b8b02a2555732/Målarkitektur%20for%20datadeling%20i%20helse-%20og%20omsorgssektoren.pdf
Krav og prinsipper ,Forretningsmessige arkitekturprinsipper for datadeling,,"Disse prinsippene gir organisatoriske føringer for datadeling og handler blant annet om hvordan grensesnitt gjøres tilgjengelige, hvordan de forvaltes og bruk av standarder. Prinsippene er beskrevet i kapittel 4 i referansearkitekturen.",,Nasjonale faglige råd,Organisatorisk,Eksisterer,Pasientens kritiske informasjon,Helsedirektoratet,"Referansearkitektur for datadeling, se kap 4.3 og 4.4",https://www.helsedirektoratet.no/faglige-rad/referansearkitektur-for-datadeling/referansearkitektur-for-datadeling.pdf/_/attachment/inline/83b90a46-dd31-46ec-80fc-bbf886c4cfa4:c6974e511e5ef3093716e9f0d93287d4fead977f/Referansearkitektur%20for%20datadeling.pdf
Krav og prinsipper ,Informasjons- og sikkerhetsprinsipper for datadeling,,Disse prinsippene gir føringer for informasjonssikkerhet og -innhold ved datadeling  og handler blant annet om autentisering og tillitstjenester. Prinsippene er beskrevet i kapittel 4 i referansearkitekturen. ,,Nasjonale faglige råd,Semantisk,Eksisterer,Pasientens kritiske informasjon,Helsedirektoratet,"Referansearkitektur for datadeling, se kap 4.3 og 4.4",https://www.helsedirektoratet.no/faglige-rad/referansearkitektur-for-datadeling/referansearkitektur-for-datadeling.pdf/_/attachment/inline/83b90a46-dd31-46ec-80fc-bbf886c4cfa4:c6974e511e5ef3093716e9f0d93287d4fead977f/Referansearkitektur%20for%20datadeling.pdf
Krav og prinsipper ,Tekniske arkitekturprinsipper for datadeling,,Disse prinsippene gir tekniske føringer for datadeling og handler om god praksis for publisering og bruk av APIer. Prinsippene er beskrevet i kapittel 4 i referansearkitekturen. ,,Nasjonale faglige råd,Teknisk,Eksisterer,Pasientens kritiske informasjon,Helsedirektoratet,"Referansearkitektur for datadeling, se kap 4.3 og 4.4",https://www.helsedirektoratet.no/faglige-rad/referansearkitektur-for-datadeling/referansearkitektur-for-datadeling.pdf/_/attachment/inline/83b90a46-dd31-46ec-80fc-bbf886c4cfa4:c6974e511e5ef3093716e9f0d93287d4fead977f/Referansearkitektur%20for%20datadeling.pdf
Krav og prinsipper ,Referansearkitektur for datadeling,,Referansearkitektur for datadeling er en av flere referansearkitekturer innen elektronisk samhandling i helse- og omsorgssektoren,,Nasjonale faglige råd,"Organisatorisk, Semantisk, Teknisk",Eksisterer,Pasientens kritiske informasjon,Helsedirektoratet,Referansearkitektur for datadeling,https://www.helsedirektoratet.no/faglige-rad/referansearkitektur-for-datadeling/referansearkitektur-for-datadeling.pdf/_/attachment/inline/83b90a46-dd31-46ec-80fc-bbf886c4cfa4:c6974e511e5ef3093716e9f0d93287d4fead977f/Referansearkitektur%20for%20datadeling.pdf
Krav og prinsipper ,Forretningsmessige arkitekturprinsipper for dokumentdeling,,"Prinsippene gir føringer for det organisatoriske nivået av dokumentdeling og handler om ansvar for bruk og publisering av dokumenter.
Prinsippene er beskrevet i kapittel 6 i målarkitekturen.",,Nasjonale faglige råd,Organisatorisk,Eksisterer,Pasientens journaldokumenter,Helsedirektoratet,"Målarkitektur for dokumentdeling, se kap. 6.1",https://www.helsedirektoratet.no/faglige-rad/malarkitektur-for-dokumentdeling/malarkitektur-for-dokumentdeling.pdf/_/attachment/inline/189c3c04-6baa-4007-90a5-fb49312d9e1e:e327395240bcaadedde5a2daff935836ccb888b8/Målarkitektur%20for%20dokumentdeling.pdf
Samhandlingskomponent ,Dokumentregister (Document Registry),,"En fellestjeneste i en dokumentdelingsløsning som inneholder alle søkbare metadata om dokumentene inkludert, en peker til det dokumentlageret hvor dokumentet er lagret. Registeret tilbyr søk til alle konsumerende virksomheter. I tillegg tilbyr det et grensesnitt for registering av metadata om et dokument.",,,Teknisk,Eksisterer,Pasientens journaldokumenter,Det enkelte samarbeidsområdet,Målarkitektur for dokumentdeling,https://www.helsedirektoratet.no/faglige-rad/malarkitektur-for-dokumentdeling/malarkitektur-for-dokumentdeling.pdf/_/attachment/inline/189c3c04-6baa-4007-90a5-fb49312d9e1e:e327395240bcaadedde5a2daff935836ccb888b8/Målarkitektur%20for%20dokumentdeling.pdf
Samhandlingskomponent ,Koblingspunkt for lokalt/regionalt samarbeidsområde (Clinical Affinity Domain / XCA Gateway),,Koblingspunkt som gjør det mulig for andre samarbeidsområder å spørre om og hente dokumenter.,,,Teknisk,Eksisterer,Pasientens journaldokumenter,Det enkelte samarbeidsområdet,Målarkitektur for dokumentdeling,https://www.helsedirektoratet.no/faglige-rad/malarkitektur-for-dokumentdeling/malarkitektur-for-dokumentdeling.pdf/_/attachment/inline/189c3c04-6baa-4007-90a5-fb49312d9e1e:e327395240bcaadedde5a2daff935836ccb888b8/Målarkitektur%20for%20dokumentdeling.pdf
Informasjonsmodell ,Rekvirering av medisinske tjenester v1.6,,Melding for rekvirering av tjenester innen radiologi og laboratoriemedisin,,Obligatorisk standard,Semantisk,Eksisterer,Pasientens prøvesvar,Helsedirektoratet,Rekvirering av medisinske tjenester v1.6,https://www.helsedirektoratet.no/standarder/rekvirering-av-medisinske-tjenester-v1.6
Informasjonsmodell ,Nasjonal informasjonsmodell for oppsummerende pasientopplysninger,,"Helsedirektoratet arbeider med å beskrive overordnet struktur og innhold for ulike typer helseinformasjon, uavhengig av formål og teknisk løsning.",,,Semantisk,Under utvikling,Pasientens kritiske informasjon,Helsedirektoratet,Nasjonal informasjonsmodell for oppsummerende pasientopplysninger,https://www.helsedirektoratet.no/horinger/nasjonal-informasjonsmodell-helse-nim-for-oppsummerende-helseopplysninger
Informasjonsmodell ,M25.1 Legemidler i bruk (Pasientens legemiddelliste),,Meldingsstandard for legemidler i bruk (pasientens legemiddelliste). Dette er beskrevet i M25-meldingsstandardene. Dokumentasjonen inneholder informasjonsmodellen for legemidler i bruk. ,,,Semantisk,,Pasientens legemiddelliste,Helsedirektoratet,Legemidler i bruk (Pasientens legemiddelliste),https://www.helsedirektoratet.no/standarder/m25.1-legemidler-i-bruk
Informasjonsmodell ,Informasjonsmodell for FEST-katalogen,,"Beskrivelse av informasjonsinnholdet i forskrivnings- og ekspedisjonsstøtte (FEST). Se også ""FEST Implementeringsveiledning"" Fra Direktoratet for medisinske produkter. ",,,Semantisk,Eksisterer,Pasientens legemiddelliste,Helsedirektoratet,Informasjonsmodell for FEST-katalogen,https://www.helsedirektoratet.no/standarder/m30-fest-meldingen
Informasjonsmodell ,Svarrapportering av medisinske tjenester v1.4,,"Standard som beskriver den overordnede informasjonsmodellen for elektronisk svarrapportering av medisinske tjenester, og dekker laboratoriesvar og radiologisvar. Standarden brukes ikke selvstendig, kun gjennom profiler, som angitt i lenken.",,Obligatorisk standard,Semantisk,Eksisterer,Pasientens prøvesvar,Helsedirektoratet,Svarrapportering av medisinske tjenester v.1.4,https://www.helsedirektoratet.no/standarder/svarrapportering-av-medisinske-tjenester-v1.4
Informasjonsmodell ,Nasjonal informasjonsmodell for overfølsomhetsreaksjoner,,Informasjonsmodellen beskriver informasjon som er viktig å dele for å ivareta pasientsikkerhet ved overfølsomhetsreaksjoner. Informasjonsmodellen er en del av Nasjonal informasjonsmodell for oppsummerende pasientopplysninger. ,,,Semantisk,Under utvikling,"Pasientens kritiske informasjon, Pasientens legemiddelliste",Helsedirektoratet,Høringsutkast nasjonal informasjonsmodell for oppsummerende pasientopplysninger,https://www.helsedirektoratet.no/horinger/nasjonal-informasjonsmodell-helse-nim-for-oppsummerende-helseopplysninger
