informasjonstype,navn,ingress,beskrivelse,kontekstavhengig_beskrivelse,normeringsniva,eif_niva,status,samhandlingstjenester,ansvarlig,dokumenttype,referanse_lenketekst,referanse_url
"Veileder ","Veileder i digital pasientkommunikasjon",,"Veilederen gir informasjon til etterlevelse av kravene om tekniske og administrative tiltak ved etablering av løsninger for pasientkommunikasjon.",,,"Organisatorisk","Eksisterer","Pasientens journaldokumenter","Normen",,"Veileder i digital pasientkommunikasjon (ehelse.no)","https://www.ehelse.no/normen/normen-dokumenter/Veileder%20i%20digital%20pasientkommunikasjon"
"Forskrift ","Endringer i kjernejournalforskriften",,"Gjennom en endring i kjernejournalforskriften er laboratorie- og bildediagnostiske svar innen åtte fagområder vedtatt som nye innholdselementer i kjernejournal. Forskriftsendringen er ikke trådt i kraft. Dette skjer fra det tidspunkt Helse- og omsorgsdepartementet bestemmer.",,,"Juridisk","Under utvikling","Pasientens prøvesvar","Helse- og omsorgsdepartementet",,,
"Lov ","Pasient- og brukerrettighetsloven",,"Både personopplysningsloven (personvernforordningen), pasientjournalloven og tildels pasient- og brukerrettighetsloven regulerer behandling av person- og helseopplysninger.

Pasient- og brukerrettighetsloven fastsetter rettigheter pasienten har overfor helse- og omsorgstjenesten, herunder rett til innsyn i journal og rett til å motsette seg deling av journalopplysninger",,,"Juridisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste","Helse- og omsorgsdepartementet",,"Lov om pasient- og brukerrettigheter (pasient- og brukerrettighetsloven) (lovdata.no)","https://lovdata.no/dokument/NL/lov/1999-07-02-63?q=Pasient-%20og%20brukerrettighetsloven"
"Lov ","Personopplysningsloven",,"Både personopplysningsloven (personvernforordningen), pasientjournalloven og tildels pasient- og brukerrettighetsloven regulerer behandling av person- og helseopplysninger. 

Personopplysningsloven gjennomfører EUs personvernforordning i norsk rett og er den sentrale sektorovergripende loven når det gjelder behandling av personopplysninger. Loven utfyller pasientjournallovens særlige bestemmelser om behandling av helseopplysninger.",,,"Juridisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste","Justis- og beredskapsdepartementet",,"Lov om behandling av personopplysninger (personopplysningsloven) (lovdata.no)","https://lovdata.no/dokument/NL/lov/2018-06-15-38?q=personopplysningsloven"
"Informasjonsmodell ","Metadata for dokumentdeling (IHE XDS metadata)",,"Norsk profil for IHE XDS metadata. Formålet med profilen er å understøtte mest mulig lik implementering av XDS i Norge og skape en felles forståelse for hvilke metadata som kan gjøres tilgjengelig.",,"Anbefalt standard","Semantisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet","HIS","Norsk profil for IHE XDS.b (ehelse.no)","https://www.ehelse.no/standardisering/standarder/ihe-xds-metadata"
"Kodeverk og terminologi ","Begrepsdefinisjoner for tilgangsbegrensning mv. i behandlingsrettede helseregistre",,"Formålet med begrepsdefinisjonene er enhetlig bruk av begreper for tilgangsbegrensning i behandlingsrettede helseregistre, herunder EPJ-systemer og nasjonale e?helseløsninger.",,,"Semantisk","Eksisterer","Pasientens journaldokumenter, Pasientens prøvesvar","Helsedirektoratet",,"Begrepsdefinisjoner for tilgangsbegrensning mv. i behandlingsrettede helseregistre (ehelse.no)","https://www.ehelse.no/standardisering/standarder/Begrepsdefinisjoner%20for%20tilgangsbegrensning%20mv.%20i%20behandlingsrettede%20helseregistre"
"Krav og prinsipper ","Anbefaling av tillitsmodell for data- og dokumentdeling",,"Rapporten fokuserer på tilgangsstyring i data- og dokumentdeling på tvers av virksomheter og personell. Den anbefaler en tillitsmodell og overordnede prinsipper som skal gjelde for tilgangsstyring på tvers av virksomheter. Anbefalingen inkluderer også videre steg for å realisere tillitsmodellen.",,"Veileder","Organisatorisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste","Helsedirektoratet","HITR","Anbefaling av tillitsmodell for data- og dokumentdeling (ehelse.no)","https://www.ehelse.no/standardisering/standarder/anbefaling-av-tillitsmodell-for-data-og-dokumentdeling"
"Organisatorisk samhandlingsform ","Samhandlingsform: Slå opp og tilgjengeliggjøre",,"Slå opp og tilgjengeliggjøre støtter samhandlingstjenester hvor det er behov for å tilgjengeliggjøre informasjon fra en bruker til flere andre ikke navngitte brukere. De kan da slå opp gjennom avtalte kanaler og tilegne seg denne informasjonen når de har behov for det, uavhengig av når den ble tilgjengeliggjort.",,,"Organisatorisk","Eksisterer","Pasientens journaldokumenter, Pasientens prøvesvar","Helsedirektoratet",,"Oversikt over organisatoriske samhandlingsformer","https://www.ehelse.no/arkitektur/nasjonal-arkitekturstyring/oversikt-over-digitale-samhandlingsformer#organisatoriske-samhandlingsformer"
"Faktaark ","Sikkerhetskrav og sikkerhetsdokumentasjon i IKT-prosjekter (faktaark 37)",,"Formålet er å sikre tilfredsstillende informasjonssikkerhet og god sikkerhetsdokumentasjon i prosjekter som skal endre eller innføre nye IKT-løsninger. Påse at sikkerhetsløsninger og -dokumentasjon overføres til driftsmiljøet ved endt prosjekt. 

Prosjektleder vil normalt få delegert ansvar fra dataansvarlig for å påse at prosjekter gjennomføres med tilfredsstillende informasjonssikkerhet. Gjennomføres fra prosjekter planlegges/startes opp og til de overføres til ordinær drift.

Alle prosjekter som skal innføre/endre/utvide en IKT-løsning som inkluderer behandling av helse- og personopplysninger.",,,,"Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens legemiddelliste","Normen",,"Sikkerhetskrav og sikkerhetsdokumentasjon i IKT-prosjekter (faktaark 37) (ehelse.no)","https://www.ehelse.no/normen/normen-dokumenter/sikkerhetskrav-og-sikkerhetsdokumentasjon-i-ikt-prosjekter-faktaark-37"
"Faktaark ","Sperret adresse i folkeregisteret (faktaark 55)",,"Faktaarkets formål er å bidra til at helse- og omsorgssektoren opprettholder beskyttelse for trusselutsatte. Adressesperre i Folkeregisteret er et tiltak for å beskytte trusselutsatte personer, dvs. personer som står i fare for å bli utsatt for alvorlig kriminalitet rettet mot liv, helse eller frihet. Typiske eksempler er vitner, informanter og personer som har blitt eller er utsatt for vold og trusler.",,,,"Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste","Normen",,"Sperret adresse i folkeregisteret (faktaark 55) (ehelse.no)","https://www.ehelse.no/normen/normen-dokumenter/sperret-adresse-i-folkeregisteret-faktaark-55"
"Faktaark ","Kommunikasjon over åpne nett (faktaark 24)",,"Faktaarkets formål er å beskrive tiltak som skal ivareta tilfredsstillende sikkerhet ved elektronisk kommunikasjon av helse- og personopplysninger over åpne nett.",,,"Organisatorisk, Teknisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste","Normen",,"Kommunikasjon over åpne nett (faktaark 24) (ehelse.no)","https://www.ehelse.no/normen/normen-dokumenter/Kommunikasjon%20over%20%C3%A5pne%20nett%20(faktaark%2024)"
"Faktaark ","Sikkerhets- og samhandlingsarkitektur ved tilgang til helseopplysninger mellom virksomheter (faktaark 20c)",,"Faktaarkets formål er å standardisere virksomhetens sikkerhetsfunksjoner og etablere tilfredsstillende sikkerhet ved elektronisk samhandling med andre aktører i helse- og sosialsektoren.",,,"Organisatorisk, Teknisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste","Normen",,"Sikkerhets- og samhandlingsarkitektur ved tilgang til helseopplysninger mellom virksomheter (faktaark 20c) (ehelse.no)","https://www.ehelse.no/normen/normen-dokumenter/sikkerhets-og-samhandlingsarkitektur-ved-tilgang-til-helseopplysninger-mellom-virksomheter-faktaark-20c"
"Faktaark ","Tilgangsstyring (faktaark 14)",,"Formålet med faktaarket er å gi en oversikt over krav til tilgangsstyring. Tilgangsstyring innebærer å sikre at helse- og personopplysninger bare er tilgjengelig etter tjenstlig behov ved at brukere blir autentisert på en betryggende måte og at tilgang blir tildelt, administrert, kontrollert og fjernet.",,,"Organisatorisk, Teknisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste","Normen",,"Tilgangsstyring (faktaark 14) (ehelse.no)","https://www.ehelse.no/normen/normen-dokumenter/tilgangsstyring-faktaark-14"
"Faktaark ","Logging og innsyn i logg (faktaark 15)",,"Formålet med faktaarket er å gi veiledning til hvordan virksomheten bør gå frem for å etterleve Normens krav til logging og loggoppfølging. Faktaarket tar også for seg prosessen for innsyn i logg fra behandlingsrettet helseregister. ",,,"Organisatorisk, Teknisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste","Normen",,"Logging og innsyn i logg (faktaark 15) (ehelse.no)","https://www.ehelse.no/normen/normen-dokumenter/logging-og-innsyn-i-logg-faktaark-15"
"Krav og prinsipper ","Rekvirentspesifikasjon for e-resept",,"Funksjonelle spesifikasjoner for legemiddelmoduler som skal samhandle med e-resept. Spesielt relevant for de som skal utvikle egen funksjonalitet for PLL.",,,"Organisatorisk","Eksisterer","Pasientens legemiddelliste","Norsk helsenett (NHN)",,"Rekvirentspesifikasjon for e-resept (nhn.no)","https://e-resept.atlassian.net/wiki/spaces/ERDOK/pages/2313421608/Rekvirentspesifikasjon+for+e-resept"
"Krav og prinsipper ","Veileder for åpne API i helse- og omsorgsektoren",,"Veilederen gir føringer og anbefalinger om hva som definerer et API som åpent. Dette gjør det enklere for sektoren å gjøre sine API åpne for andre, sette krav om åpne API ved bestillinger til leverandører og gjør det lettere for leverandører å markedsføre produktene sine med åpne API",,"Veileder","Organisatorisk, Teknisk","Eksisterer","Pasientens kritiske informasjon, Pasientens legemiddelliste","Helsedirektoratet","HITR","Veileder for åpne API i helse- og omsorgsektoren (ehelse.no)","https://www.ehelse.no/standardisering/standarder/veiledning-for-%C3%A5pne-api-i-helse-og-omsorgssektoren"
"Veileder ","Veileder om risikostyring i informasjonssikkerhet og personvern",,"Denne veilederen skal gi veiledning til, og bidra til etterlevelse av, kravene i Normen knyttet til risikostyring.",,,,"Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste","Normen",,"Veileder om risikostyring i informasjonssikkerhet og personvern (ehelse.no)","https://www.ehelse.no/normen/normen-dokumenter/Veileder-om-risikostyring-i-informasjonssikkerhet%20og%20personvern"
"Veileder ","Veileder for rettigheter ved behandling av helse og personopplysninger",,"Gir virksomheter i helse- og omsorgstjenesten veiledning i hvordan de registrertes rettigheter kan ivaretas herunder pasienters rettigheter som registrerte.",,,,"Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste","Normen",,"Veileder for rettigheter ved behandling av helse og personopplysninger (ehelse.no)","https://www.ehelse.no/normen/normen-dokumenter/veileder-for-rettigheter-ved-behandling-av-helse-og-personopplysninger#10.2.3%20Behandling%20av%20helseopplysninger%20i%20Nasjonal%20kjernejournal"
"Veileder ","Veileder for tilgang til helse- og personopplysninger",,"Gir veiledning til og bidrar til etterlevelse av kravene Normen stiller til etablering av tilfredsstillende tilgangsstyring innad i virksomheten.",,,"Organisatorisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste","Normen",,"Veileder for tilgang til helse- og personopplysninger (ehelse.no)","https://www.ehelse.no/normen/normen-dokumenter/veileder-for-tilgang-til-helse-og-personopplysninger"
"Krav og prinsipper ","Implementeringsveiledning FEST",,"Implementeringsveiledningen er Direktoratet for medisinske produkter sin dokumentasjon av meldingen for forskrivnings- og ekspedisjonsstøtte (FEST).",,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Direktoratet for medisinske produkter",,"Implementeringsveiledning FEST (dmp.no)","https://www.dmp.no/om-oss/distribusjon-av-legemiddeldata/fest/hvordan-bruke-fest#Implementeringsveiledning-FEST-1"
"Krav og prinsipper ","Krav til utleverere av medikamenter",,"Kravdokumentene beskriver funksjonalitet knyttet til e-reseptmeldinger som benyttes i kommunikasjon mellom utleverersystemer og Reseptformidleren, samt meldinger som benyttes i oppgjørsløsningen mot Helfo.",,,"Teknisk","Eksisterer","Pasientens legemiddelliste","Norsk helsenett (NHN)",,"Krav til utleverere av medikamenter (nhn.no)","https://e-resept.atlassian.net/wiki/spaces/ERDOK/pages/953685209/Krav+til+utleverere"
"Nasjonal e-helseløsning ","Helsenorge",,"Helsenorge er den offentlige helseportalen for innbyggere i Norge. Helsenorge.no gir brukere tilgang egen helseinformasjon.",,,"Organisatorisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste","Norsk helsenett (NHN)",,"Om Helsenorge (nhn.no)","https://www.nhn.no/tjenester/helsenorge"
"Samhandlingskomponent ","HelseID",,"HelseID er en felles påloggingsløsning for helse- og omsorgssektoren.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens legemiddelliste","Norsk helsenett (NHN)",,"Informasjon om HelseID (nhn.no)","https://www.nhn.no/tjenester/helseid"
"Informasjonsmodell ","Nasjonal informasjonsmodell for overfølsomhetsreaksjoner",,"Informasjonsmodellen beskriver informasjon som er viktig å dele for å ivareta pasientsikkerhet ved overfølsomhetsreaksjoner.",,,"Semantisk","Under utvikling","Pasientens kritiske informasjon, Pasientens legemiddelliste","Helsedirektoratet","HITS","Høringsutkast nasjonal informasjonsmodell for overfølsomhetsreaksjoner (ehelse.no)","https://www.ehelse.no/horinger/Nasjonal-informasjonsmodell-for-overfolsomhetsreaksjoner"
"Kodeverk og terminologi ","SAFEST - Forskrivnings- og ekspedisjonsstøtte for spesialisthelsetjenesten",,"Formålet med SAFEST er å etablere en kilde til strukturert legemiddelinformasjon som understøtter behovene i sykehus. Informasjonen skal være elektronisk tilgjengelig gjennom et spørregrensesnitt til bruk i kliniske systemer. Legemiddelverket leverer i dag kvalitetssikret strukturert legemiddelinformasjon til bruk i e-resept (FEST). Sykehusene har flere behov og ønsker til strukturert legemiddelinformasjon enn det FEST for e-resept inneholder.",,,,"Under utvikling","Pasientens kritiske informasjon","Legemiddelverket",,"SAFEST - Forskrivnings- og ekspedisjonsstøtte for spesialisthelsetjenesten (legemiddelverket.no)","https://www.legemiddelverket.no/om-oss/distribusjon-av-legemiddeldata/prosjektet-safest-gjennomforing"
"Teknisk samhandlingsform ","Samhandlingsform: Datadeling",,"Deling av data mellom helseaktører og med innbygger gjennom felles ressurser eller tjenester i sanntid. For eksempel kan API-er benyttes for å dele strukturerte data.",,,"Teknisk","Eksisterer","Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste","Helsedirektoratet",,"Oversikt over tekniske samhandlingsformer","https://www.ehelse.no/arkitektur/nasjonal-arkitekturstyring/oversikt-over-digitale-samhandlingsformer#tekniske-samhandlingsformer"
"Samhandlingskomponent ","Interaksjonsvarslingstjeneste",,"Formålet med interaksjonsdata er å avverge legemiddelrelaterte problemer som skyldes legemiddelinteraksjoner, for eksempel bivirkninger og manglende effekt. Direktoratet for medisinske produkter har laget et søkeverktøy med uheldige kombinasjoner av legemidler for mennesker. ",,,"Teknisk",,"Pasientens legemiddelliste","Direktoratet for medisinske produkter",,"Interaksjonssøk (legemiddelsok.no)","https://www.legemiddelsok.no/sider/Interaksjoner.aspx"
"Organisatorisk samhandlingsform ","Samhandlingsform: Endre og dele",,"Endre og dele benyttes når det er viktig å ha en felles kilde til informasjonen, som kan oppdateres av ulike aktører.
",,,"Organisatorisk","Eksisterer","Pasientens kritiske informasjon, Pasientens legemiddelliste","Helsedirektoratet",,"Oversikt over organisatoriske samhandlingsformer","https://www.ehelse.no/arkitektur/nasjonal-arkitekturstyring/oversikt-over-digitale-samhandlingsformer#organisatoriske-samhandlingsformer"
"Forskrift ","Pasientjournalforskriften",,"Pasientjournalforskriften er hjemlet i pasientjournalloven, og utfyller blant annet pasientjournallovens krav til informasjonssikkerhet. Forskriften setter blant annet spesifikke krav til tilgangsstyring og logging.","Pasientens legemiddelliste: Vedtatte bestemmelser om pasientens legemiddelliste i pasientjournalforskriften § 6 bokstav e tredje punktum og § 9 er ikke tredd i kraft. De trer i kraft fra det tidspunktet departementet bestemmer.",,"Juridisk","Eksisterer","Pasientens journaldokumenter, Pasientens legemiddelliste","Helse- og omsorgsdepartementet",,"Forskrift om pasientjournal (pasientjournalforskriften) (lovdata.no)","https://lovdata.no/dokument/SF/forskrift/2019-03-01-168?q=Pasientjournalforskriften"
"Forskrift ","Forskrift om standarder og nasjonale e-helseløsninger",,"Forskriften er hjemlet i pasientjournalloven §§ 7, 8, 12 og 13. Forskriften gir blant annet nærmere bestemmelser om plikt til bruk, betaling og tilgjengeliggjøring av nasjonale e-helseløsninger samt nærmere bestemmelser om krav til elektronisk behandling av helseopplysninger og standarder.","Pasientens legemiddelliste: Forskriften gir krav til funksjonalitet ved meldingsutvekslinger for resepter og reseptopplysninger.",,"Juridisk","Eksisterer","Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste","Helse- og omsorgsdepartementet",,"Forskrift om standarder og nasjonale e-helseløsninger (lovdata.no)","https://lovdata.no/dokument/SF/forskrift/2015-07-01-853?q=Forskrift%20om%20standarder%20og%20nasjonale"
"Forskrift ","Kjernejournalforskriften",,"Forskriften er hjemlet i pasientjournalloven § 13. Forskriften gir nærmere bestemmelser om nasjonal kjernejournal, og det følger av forskriften § 4 hvilke opplysninger kjerjournal kan inneholde. Dette omfatter blant annet kritisk informasjon og referanser til ytterligere informasjon, som for eksempel epikriser.","Pasientens legemiddelliste: Pasientens legemiddelliste i Reseptformidleren, kan også tilgjengeliggjøres for helsepersonell i Nasjonal kjernejournal jf. kjernejournalforskriften § 7.",,"Juridisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens legemiddelliste","Helse- og omsorgsdepartementet",,"Forskrift om nasjonal kjernejournal (kjernejournalforskriften) (lovdata.no)","https://lovdata.no/dokument/SF/forskrift/2013-05-31-563?q=kjernejournalforskriften"
"Forskrift ","Reseptformidlerforskriften",,"Forskriften er hjemlet i pasientjournalloven § 12, som gir behandlingsgrunnlaget for Reseptformidleren. Forskiften gir nærmere bestemmelser om behandling av helseopplysninger i Reseptformidleren. Formålet med reseptformidleren er å sørge for sikker og effektiv formidling av resepter og reseptopplysninger mellom aktører med tjenstlig behov, samt overføring av informasjon til kjernejournal. Hvilke opplysninger som kan behandles i Reseptformidleren følger av reseptformidlerforskriften § 1-7.","Pasientens legemiddelliste: Pasientens legemiddelliste, som er en samlet og oppdatert oversikt over relevante opplysninger om pasientens legemiddelbehandling, kan behandles i Reseptformidleren.",,"Juridisk","Eksisterer","Pasientens kritiske informasjon, Pasientens legemiddelliste","Helse- og omsorgsdepartementet",,"Forskrift om behandling av helseopplysninger i nasjonal database for elektroniske resepter (Reseptformidlerforskriften) (lovdata.no)","https://lovdata.no/dokument/SF/forskrift/2007-12-21-1610"
"Krav og prinsipper ","Pasientens legemiddelliste - ""PLL i praksis""",,"Overordnet klinisk beskrivelse av pasientens legemiddelliste (PLL) med praktiske råd og anbefalinger om bruk. Her kan det komme endringer.",,,"Organisatorisk, Semantisk","Under utvikling","Pasientens legemiddelliste","Helsedirektoratet",,"Pasientens legemiddelliste - ""PLL i praksis"" (ehelse.no)","https://www.ehelse.no/horinger/horing-pa-informasjonssiden-pll-i-praksis"
"Krav og prinsipper ","Legemiddelsamstemming og legemiddelgjennomgang",,"Formålet med de faglige rådene er å bidra til god kvalitet i legemiddelbehandlingen ved å gi veiledning om rutiner og gjennomføring av legemiddelsamstemming og legemiddelgjennomgang. Målgruppen for rådene er primært helsepersonell og ledere som har ansvar for organisering og gjennomføring av tiltakene, men også pasienter og pårørende vil kunne ha nytte av rådene.",,,"Organisatorisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"Legemiddelsamstemming og legemiddelgjennomgang (hdir.no)","https://www.helsedirektoratet.no/faglige-rad/legemiddelsamstemming-og-legemiddelgjennomgang"
"Lov ","Helsepersonelloven",,"Loven setter krav til helsepersonells yrkesutøvelse og krav til virksomheter som yter helsehjelp. Den omfatter blant annet bestemmelser om taushetsplikt og krav til forsvarlighet.","Pasientens journaldokumenter: For samhandlingstjenesten pasientens journaldokumenter er det særlig helsepersonelloven § 45 som er relevant. Bestemmelsen er et unntak fra taushetsplikten som fastslår rett og plikt til å gjøre nødvendige og relevante opplysninger tilgjengelige for helsepersonell som trenger dem i forbindelse med helsehjelp. Det er helsepersonellet eller virksomheten som tilgjengeliggjør opplysningene for andre som har ansvaret for at vilkårene for å tilgjengeliggjøringen er oppfylt.",,"Juridisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste","Helse- og omsorgsdepartementet",,"Lov om helsepersonell m.v. (helsepersonelloven) (lovdata.no)","https://lovdata.no/dokument/NL/lov/1999-07-02-64?q=helsepersonelloven"
"Krav og prinsipper ","Rundskriv til legemiddelhåndteringsforskriften (IS-7/2015)",,"Rundskrivet inneholder en mer detaljert beskrivelse av hvordan forskriften skal forstås, samt en veiledning som gir råd og praktiske eksempler for å kunne opprettholde gode rutiner og sikre kvalitet i legemiddelhåndteringen.",,,"Organisatorisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"Rundskriv til legemiddelhåndteringsforskriften (IS-7/2015) (PDF) (hdir.no)","https://www.helsedirektoratet.no/rundskriv/legemiddelhandteringsforskriften-med-kommentarer/Legemiddelh%C3%A5ndteringsforskriften%20med%20kommentarer%20(rev)%20%E2%80%93%20Rundskriv.pdf/_/attachment/inline/506142af-6a2f-407f-8f3d-b87d3adc3cd5:81191d21a0a9e3131cb80deff61f723499f3f65c/Legemiddelh%C3%A5ndteringsforskriften%20med%20kommentarer%20(rev)%20%E2%80%93%20Rundskriv.pdf"
"Krav og prinsipper ","ePrescription and eDispensation of Authorised Medicinal Products",,"Spesifikasjon av utvekslingsformat og informasjonselementene
fra EU om digital forskrivning og utlevering legemidler. Dette vil etter hvert komme som krav gjennom EHDS-forordningen. Dette tas hensyn til i arbeidet med nasjonale informasjonsmodeller for pasientens legemiddelliste.",,,"Organisatorisk, Semantisk, Teknisk","Eksisterer","Pasientens legemiddelliste","EU-kommisjonen",,"ePrescription and eDispensation of Authorised Medicinal Products (PDF) (ec.europa.eu)","https://health.ec.europa.eu/document/download/b744f30b-a05e-4b9c-9630-ad96ebd0b2f0_en?filename=ehn_guidelines_eprescriptions_en.pdf"
"Krav og prinsipper ","Veileder om internasjonale standarder på legemiddelområdet",,"Dokumentet beskriver hvilke internasjonale standarder på legemiddelområdet som bør brukes til ulike formål og hvilke tiltak som bør gjennomføres for å sikre at standardene blir tatt i bruk på en enhetlig måte.",,,"Organisatorisk, Semantisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"Veileder om internasjonale standarder på legemiddelområdet (ehelse.no)","https://www.ehelse.no/standardisering/standarder/Veileder%20om%20internasjonale%20standarder%20for%20legemiddelinformasjon"
"Arbeidsprosess ","Gjøre oppslag i tidligere journalopplysninger",,"Informasjonstjenesten gir helsepersonell muligheten til å grave seg dypere ned i innbyggerens sykdoms- og undersøkelseshistorikk fra tidligere besøk i helsetjenesten. Eks. hvis fastende langtidsblodsukker blir målt kan helsepersonell gå inn å journalen og få resultater fra tidligere tester som dagens resultater kan sammenlignes med. ",,,"Organisatorisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet",,,
"Arbeidsprosess ","Skaffe seg oversikt over innbyggers tilstand og behov for helsehjelp",,"Informasjonstjenestene i denne kategorien benytter helsearbeiderne til å få oversikt over hvem innbyggeren er og kritisk informasjon om innbyggerens helse. Eks. på
dette er å få oversikt over evt. legemiddelallergier. ",,,"Organisatorisk","Eksisterer","Pasientens kritiske informasjon","Helsedirektoratet",,,
"Informasjonstjeneste ","Pasientens prøvesvar","Her får du oversikt over krav og anbefalinger som gjelder for samhandlingstjenesten pasientens prøvesvar, med lenker til sider og dokumenter der føringer er publisert.","Pasientens prøvesvar gjør det mulig å dele prøvesvar på tvers av behandlingsnivåer, uavhengig av hvem som har bestilt undersøkelsen og hvor i landet den er utført.

Det er vedtatt endringer i pasientjournalloven § 13 femte ledd, som legger til rette for at pasientens prøvesvar tas inn som en del av kjernejournal. 
Det forutsettes imidlertid at det gjøres endringer i kjernejournalforskriften. Det pågår nå et arbeid med dette. Se oversikt over pågående og planlagte aktiviteter for pasientens prøvesvar i veikart for nasjonal e-helsestrategi",,,"Organisatorisk","Under utvikling","Pasientens prøvesvar","Helsedirektoratet",,,
"Informasjonstjeneste ","Pasientens kritiske informasjon","Her får du oversikt over krav og anbefalinger som gjelder for samhandlingstjenesten pasientens kritiske informasjon, med lenker til sider og dokumenter der disse er publisert.","Samhandlingstjenesten baserer seg på kritisk informasjon i kjernejournal. Med kritisk informasjon menes informasjon som man i en behandlingssituasjon ønsker at det varsles særskilt om til helsepersonell som har pasienten til behandling. Eksempler på kritisk informasjon er allergier, spesielle lidelser eller tidligere komplikasjoner ved anestesi. Se oversikt over pågående og planlagte aktiviteter for pasientens kritiske informasjon i veikart for nasjonal e-helsestrategi",,,"Organisatorisk","Eksisterer","Pasientens kritiske informasjon","Helsedirektoratet",,,
"Informasjonstjeneste ","Pasientens journaldokumenter","Her får du oversikt over krav og anbefalinger som gjelder for samhandlingstjenesten pasientens journaldokumenter, med lenker til sider og dokumenter der disse er publisert.","Pasientens journaldokumenter er en samhandlingstjeneste for å gi innsyn i dokumenter via kjernejournal for helsepersonell og via Helsenorge for innbyggere.  Eksempler er epikriser, sammenfatninger, og henvisninger. Se oversikt over pågående og planlagte aktiviteter for pasientens journaldokumenter i veikart for nasjonal e-helsestrategi",,,"Organisatorisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet",,,
"Fortolkning "," Kjernejournals formål og forholdet til helsepersonelloven §§ 25 b og 29 c ",,"Dokumentet det er lenket til under inneholder en juridisk vurdering av bruk av opplysninger i kjernejournal der formålet er å yte helsehjelp til en annen pasient eller til egen læring og kvalitetssikring av helsehjelpen.",,,"Juridisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet",,"Fortolkning - spørsmål om bruk av opplysninger i kjernejournal der formålet er å yte helsehjelp til en annen pasient eller til egen læring og kvalitetssikring av helsehjelpen, jf. helsepersonelloven §§ 25 b og 29 c (PDF) (ehelse.no)","https://www.ehelse.no/regelverk/regelverk-om-deling-av-helseopplysninger/_/attachment/inline/12836bcb-3ef9-463a-bf36-1e9f8116e25a:753f25e56e9f7b88450ddc59d6e0b8e278138ab9/Fortolkning%20-%20sp%C3%B8rsm%C3%A5l%20om%20bruk%20av%20opplysninger%20i%20kjernejournal%20der%20form%C3%A5let%20er%20%C3%A5%20yte%20helsehjelp%20til%20en%20annen%20pasient%20eller%20til%20egen%20l%C3%A6ring%20og%20kvalitetssikri.pdf"
